Date,Unit,Minimum,Maximum,Average,Market
2013-06-16,Kg,26,32,29.0,Tomato
2013-06-17,Kg,20,25,22.5,Tomato
2013-06-18,Kg,22,26,24.0,Tomato
2013-06-19,Kg,24,28,26.0,Tomato
2013-06-20,Kg,22,26,24.0,Tomato
2013-06-21,Kg,15,20,17.5,Tomato
2013-06-25,Kg,25,30,27.5,Tomato
2013-06-26,Kg,20,25,22.5,Tomato
2013-06-27,Kg,18,24,21.0,Tomato
2013-06-28,Kg,24,28,26.0,Tomato
2013-06-30,Kg,18,22,20.0,Tomato
2013-07-01,Kg,15,20,17.5,Tomato
2013-07-02,Kg,15,20,17.5,Tomato
2013-07-03,Kg,14,18,16.0,Tomato
2013-07-04,Kg,14,18,16.0,Tomato
2013-07-05,Kg,18,24,21.0,Tomato
2013-07-09,Kg,20,25,22.5,Tomato
2013-07-10,Kg,30,35,32.5,Tomato
2013-07-11,Kg,32,38,35.0,Tomato
2013-07-12,Kg,44,48,46.0,Tomato
2013-07-14,Kg,50,55,52.5,Tomato
2013-07-15,Kg,50,55,52.5,Tomato
2013-07-16,Kg,48,52,50.0,Tomato
2013-07-17,Kg,46,52,49.0,Tomato
2013-07-18,Kg,40,45,42.5,Tomato
2013-07-19,Kg,36,40,38.0,Tomato
2013-07-21,Kg,28,32,30.0,Tomato
2013-07-22,Kg,28,32,30.0,Tomato
2013-07-23,Kg,30,35,32.5,Tomato
2013-07-24,Kg,32,36,34.0,Tomato
2013-07-25,Kg,40,45,42.5,Tomato
2013-07-26,Kg,40,45,42.5,Tomato
2013-07-28,Kg,40,45,42.5,Tomato
2013-07-29,Kg,42,46,44.0,Tomato
2013-07-30,Kg,38,42,40.0,Tomato
2013-07-31,Kg,35,40,37.5,Tomato
2013-08-01,Kg,34,38,36.0,Tomato
2013-08-02,Kg,25,35,30.0,Tomato
2013-08-04,Kg,25,30,27.5,Tomato
2013-08-05,Kg,25,30,27.5,Tomato
2013-08-06,Kg,28,34,31.0,Tomato
2013-08-07,Kg,25,30,27.5,Tomato
2013-08-08,Kg,20,25,22.5,Tomato
2013-08-12,Kg,24,28,26.0,Tomato
2013-08-13,Kg,25,30,27.5,Tomato
2013-08-14,Kg,25,30,27.5,Tomato
2013-08-15,Kg,25,32,28.5,Tomato
2013-08-16,Kg,35,40,37.5,Tomato
2013-08-18,Kg,30,35,32.5,Tomato
2013-08-19,Kg,35,40,37.5,Tomato
2013-08-20,Kg,38,42,40.0,Tomato
2013-08-23,Kg,40,44,42.0,Tomato
2013-08-25,Kg,30,35,32.5,Tomato
2013-08-26,Kg,28,32,30.0,Tomato
2013-08-27,Kg,28,32,30.0,Tomato
2013-08-29,Kg,34,38,36.0,Tomato
2013-08-30,Kg,30,35,32.5,Tomato
2013-09-01,Kg,30,35,32.5,Tomato
2013-09-02,Kg,35,40,37.5,Tomato
2013-09-03,Kg,40,45,42.5,Tomato
2013-09-04,Kg,40,45,42.5,Tomato
2013-09-05,Kg,45,50,47.5,Tomato
2013-09-06,Kg,50,55,52.5,Tomato
2013-09-08,Kg,50,56,53.0,Tomato
2013-09-09,Kg,55,60,57.5,Tomato
2013-09-10,Kg,44,50,47.0,Tomato
2013-09-11,Kg,38,42,40.0,Tomato
2013-09-12,Kg,36,42,39.0,Tomato
2013-09-13,Kg,35,40,37.5,Tomato
2013-09-15,Kg,35,40,37.5,Tomato
2013-09-16,Kg,32,38,35.0,Tomato
2013-09-17,Kg,35,40,37.5,Tomato
2013-09-19,Kg,35,40,37.5,Tomato
2013-09-20,Kg,35,40,37.5,Tomato
2013-09-22,Kg,30,35,32.5,Tomato
2013-09-23,Kg,30,35,32.5,Tomato
2013-09-24,Kg,30,35,32.5,Tomato
2013-09-25,Kg,30,31,30.5,Tomato
2013-09-26,Kg,30,35,32.5,Tomato
2013-09-27,Kg,35,40,37.5,Tomato
2013-09-29,Kg,35,40,37.5,Tomato
2013-09-30,Kg,38,42,40.0,Tomato
2013-10-01,Kg,38,42,40.0,Tomato
2013-10-02,Kg,40,45,42.5,Tomato
2013-10-03,Kg,40,45,42.5,Tomato
2013-10-04,Kg,40,45,42.5,Tomato
2013-10-06,Kg,65,75,70.0,Tomato
2013-10-07,Kg,60,70,65.0,Tomato
2013-10-08,Kg,55,60,57.5,Tomato
2013-10-09,Kg,75,80,77.5,Tomato
2013-10-10,Kg,75,80,77.5,Tomato
2013-10-11,Kg,75,80,77.5,Tomato
2013-10-12,Kg,60,70,65.0,Tomato
2013-10-13,Kg,65,75,70.0,Tomato
2013-10-14,Kg,65,75,70.0,Tomato
2013-10-15,Kg,65,70,67.5,Tomato
2013-10-16,Kg,55,65,60.0,Tomato
2013-10-17,Kg,40,50,45.0,Tomato
2013-10-20,Kg,30,35,32.5,Tomato
2013-10-21,Kg,35,40,37.5,Tomato
2013-10-22,Kg,30,35,32.5,Tomato
2013-10-23,Kg,30,35,32.5,Tomato
2013-10-24,Kg,35,40,37.5,Tomato
2013-10-25,Kg,35,45,40.0,Tomato
2013-10-27,Kg,45,50,47.5,Tomato
2013-10-28,Kg,45,50,47.5,Tomato
2013-10-29,Kg,45,55,50.0,Tomato
2013-10-30,Kg,45,50,47.5,Tomato
2013-10-31,Kg,45,50,47.5,Tomato
2013-11-01,Kg,40,50,45.0,Tomato
2013-11-04,Kg,50,55,52.5,Tomato
2013-11-05,Kg,55,64,59.5,Tomato
2013-11-06,Kg,60,70,65.0,Tomato
2013-11-07,Kg,70,80,75.0,Tomato
2013-11-10,Kg,50,60,55.0,Tomato
2013-11-11,Kg,50,60,55.0,Tomato
2013-11-12,Kg,70,80,75.0,Tomato
2013-11-13,Kg,65,75,70.0,Tomato
2013-11-14,Kg,56,65,60.5,Tomato
2013-11-15,Kg,54,60,57.0,Tomato
2013-11-16,Kg,60,70,65.0,Tomato
2013-11-17,Kg,70,75,72.5,Tomato
2013-11-18,Kg,60,70,65.0,Tomato
2013-11-20,Kg,60,70,65.0,Tomato
2013-11-21,Kg,55,65,60.0,Tomato
2013-11-22,Kg,55,60,57.5,Tomato
2013-11-24,Kg,50,60,55.0,Tomato
2013-11-25,Kg,58,62,60.0,Tomato
2013-11-26,Kg,60,70,65.0,Tomato
2013-11-27,Kg,60,70,65.0,Tomato
2013-11-28,Kg,55,60,57.5,Tomato
2013-11-29,Kg,45,55,50.0,Tomato
2013-12-01,Kg,45,50,47.5,Tomato
2013-12-02,Kg,45,50,47.5,Tomato
2013-12-03,Kg,40,50,45.0,Tomato
2013-12-04,Kg,40,45,42.5,Tomato
2013-12-05,Kg,25,30,27.5,Tomato
2013-12-06,Kg,25,30,27.5,Tomato
2013-12-08,Kg,25,30,27.5,Tomato
2013-12-09,Kg,25,30,27.5,Tomato
2013-12-10,Kg,30,35,32.5,Tomato
2013-12-11,Kg,28,32,30.0,Tomato
2013-12-12,Kg,25,30,27.5,Tomato
2013-12-13,Kg,25,30,27.5,Tomato
2013-12-15,Kg,22,28,25.0,Tomato
2013-12-16,Kg,24,28,26.0,Tomato
2013-12-18,Kg,22,28,25.0,Tomato
2013-12-19,Kg,22,28,25.0,Tomato
2013-12-20,Kg,22,26,24.0,Tomato
2013-12-22,Kg,22,28,25.0,Tomato
2013-12-23,Kg,25,30,27.5,Tomato
2013-12-24,Kg,26,32,29.0,Tomato
2013-12-26,Kg,32,38,35.0,Tomato
2013-12-27,Kg,32,38,35.0,Tomato
2013-12-29,Kg,32,36,34.0,Tomato
2013-12-31,Kg,30,35,32.5,Tomato
2014-01-01,Kg,30,35,32.5,Tomato
2014-01-02,Kg,30,35,32.5,Tomato
2014-01-03,Kg,30,35,32.5,Tomato
2014-01-05,Kg,30,35,32.5,Tomato
2014-01-06,Kg,30,35,32.5,Tomato
2014-01-07,Kg,26,32,29.0,Tomato
2014-01-08,Kg,30,35,32.5,Tomato
2014-01-09,Kg,30,35,32.5,Tomato
2014-01-10,Kg,30,35,32.5,Tomato
2014-01-12,Kg,30,35,32.5,Tomato
2014-01-13,Kg,30,35,32.5,Tomato
2014-01-14,Kg,30,35,32.5,Tomato
2014-01-16,Kg,32,36,34.0,Tomato
2014-01-17,Kg,28,34,31.0,Tomato
2014-01-19,Kg,24,28,26.0,Tomato
2014-01-20,Kg,20,25,22.5,Tomato
2014-01-21,Kg,18,25,21.5,Tomato
2014-01-22,Kg,15,20,17.5,Tomato
2014-01-23,Kg,16,22,19.0,Tomato
2014-01-24,Kg,18,25,21.5,Tomato
2014-01-26,Kg,18,20,19.0,Tomato
2014-01-27,Kg,18,22,20.0,Tomato
2014-01-28,Kg,18,24,21.0,Tomato
2014-01-29,Kg,20,25,22.5,Tomato
2014-02-02,Kg,20,25,22.5,Tomato
2014-02-03,Kg,30,35,32.5,Tomato
2014-02-04,Kg,30,35,32.5,Tomato
2014-02-05,Kg,30,35,32.5,Tomato
2014-02-06,Kg,28,34,31.0,Tomato
2014-02-07,Kg,30,35,32.5,Tomato
2014-02-08,Kg,32,36,34.0,Tomato
2014-02-09,Kg,30,35,32.5,Tomato
2014-02-10,Kg,25,30,27.5,Tomato
2014-02-11,Kg,25,30,27.5,Tomato
2014-02-12,Kg,25,30,27.5,Tomato
2014-02-13,Kg,24,28,26.0,Tomato
2014-02-14,Kg,25,30,27.5,Tomato
2014-02-16,Kg,25,32,28.5,Tomato
2014-02-17,Kg,28,32,30.0,Tomato
2014-02-18,Kg,30,35,32.5,Tomato
2014-02-20,Kg,34,38,36.0,Tomato
2014-02-21,Kg,28,35,31.5,Tomato
2014-02-23,Kg,25,30,27.5,Tomato
2014-02-24,Kg,32,36,34.0,Tomato
2014-02-25,Kg,30,35,32.5,Tomato
2014-02-26,Kg,28,34,31.0,Tomato
2014-02-28,Kg,32,38,35.0,Tomato
2014-03-03,Kg,50,60,55.0,Tomato
2014-03-05,Kg,45,52,48.5,Tomato
2014-03-06,Kg,45,50,47.5,Tomato
2014-03-07,Kg,45,50,47.5,Tomato
2014-03-09,Kg,45,50,47.5,Tomato
2014-03-10,Kg,40,45,42.5,Tomato
2014-03-11,Kg,45,50,47.5,Tomato
2014-03-12,Kg,45,50,47.5,Tomato
2014-03-13,Kg,52,58,55.0,Tomato
2014-03-14,Kg,52,58,55.0,Tomato
2014-03-17,Kg,50,55,52.5,Tomato
2014-03-18,Kg,30,36,33.0,Tomato
2014-03-19,Kg,35,40,37.5,Tomato
2014-03-20,Kg,40,45,42.5,Tomato
2014-03-21,Kg,35,40,37.5,Tomato
2014-03-23,Kg,25,30,27.5,Tomato
2014-03-24,Kg,30,35,32.5,Tomato
2014-03-25,Kg,35,40,37.5,Tomato
2014-03-26,Kg,42,48,45.0,Tomato
2014-03-27,Kg,40,45,42.5,Tomato
2014-03-28,Kg,40,45,42.5,Tomato
2014-03-31,Kg,35,45,40.0,Tomato
2014-04-01,Kg,34,40,37.0,Tomato
2014-04-02,Kg,36,45,40.5,Tomato
2014-04-03,Kg,38,45,41.5,Tomato
2014-04-04,Kg,38,45,41.5,Tomato
2014-04-06,Kg,40,46,43.0,Tomato
2014-04-07,Kg,40,45,42.5,Tomato
2014-04-09,Kg,38,42,40.0,Tomato
2014-04-10,Kg,30,40,35.0,Tomato
2014-04-11,Kg,40,45,42.5,Tomato
2014-04-13,Kg,45,50,47.5,Tomato
2014-04-15,Kg,40,45,42.5,Tomato
2014-04-16,Kg,38,42,40.0,Tomato
2014-04-17,Kg,35,40,37.5,Tomato
2014-04-18,Kg,34,36,35.0,Tomato
2014-04-20,Kg,35,40,37.5,Tomato
2014-04-21,Kg,30,35,32.5,Tomato
2014-04-22,Kg,35,40,37.5,Tomato
2014-04-23,Kg,32,36,34.0,Tomato
2014-04-25,Kg,30,35,32.5,Tomato
2014-04-27,Kg,32,36,34.0,Tomato
2014-04-28,Kg,32,36,34.0,Tomato
2014-04-29,Kg,28,32,30.0,Tomato
2014-04-30,Kg,30,35,32.5,Tomato
2014-05-02,Kg,28,32,30.0,Tomato
2014-05-04,Kg,25,30,27.5,Tomato
2014-05-05,Kg,18,24,21.0,Tomato
2014-05-06,Kg,15,20,17.5,Tomato
2014-05-07,Kg,12,15,13.5,Tomato
2014-05-08,Kg,14,18,16.0,Tomato
2014-05-09,Kg,15,20,17.5,Tomato
2014-05-11,Kg,15,20,17.5,Tomato
2014-05-12,Kg,24,28,26.0,Tomato
2014-05-13,Kg,24,28,26.0,Tomato
2014-05-15,Kg,20,25,22.5,Tomato
2014-05-16,Kg,30,35,32.5,Tomato
2014-05-18,Kg,25,30,27.5,Tomato
2014-05-19,Kg,22,26,24.0,Tomato
2014-05-20,Kg,20,25,22.5,Tomato
2014-05-21,Kg,15,20,17.5,Tomato
2014-05-22,Kg,14,18,16.0,Tomato
2014-05-23,Kg,15,20,17.5,Tomato
2014-05-25,Kg,16,22,19.0,Tomato
2014-05-26,Kg,20,25,22.5,Tomato
2014-05-27,Kg,20,25,22.5,Tomato
2014-05-28,Kg,24,28,26.0,Tomato
2014-05-30,Kg,20,25,22.5,Tomato
2014-06-01,Kg,25,30,27.5,Tomato
2014-06-02,Kg,28,32,30.0,Tomato
2014-06-03,Kg,30,35,32.5,Tomato
2014-06-04,Kg,35,40,37.5,Tomato
2014-06-05,Kg,44,48,46.0,Tomato
2014-06-06,Kg,40,45,42.5,Tomato
2014-06-08,Kg,40,45,42.5,Tomato
2014-06-09,Kg,35,40,37.5,Tomato
2014-06-10,Kg,30,36,33.0,Tomato
2014-06-11,Kg,26,32,29.0,Tomato
2014-06-12,Kg,24,30,27.0,Tomato
2014-06-13,Kg,25,30,27.5,Tomato
2014-06-15,Kg,22,26,24.0,Tomato
2014-06-16,Kg,18,22,20.0,Tomato
2014-06-17,Kg,18,22,20.0,Tomato
2014-06-18,Kg,15,20,17.5,Tomato
2014-06-19,Kg,14,18,16.0,Tomato
2014-06-20,Kg,14,20,17.0,Tomato
2014-06-23,Kg,18,20,19.0,Tomato
2014-06-24,Kg,14,18,16.0,Tomato
2014-06-25,Kg,18,22,20.0,Tomato
2014-06-26,Kg,18,24,21.0,Tomato
2014-06-27,Kg,22,28,25.0,Tomato
2014-06-29,Kg,20,25,22.5,Tomato
2014-06-30,Kg,16,20,18.0,Tomato
2014-07-01,Kg,16,20,18.0,Tomato
2014-07-02,Kg,14,18,16.0,Tomato
2014-07-03,Kg,15,20,17.5,Tomato
2014-07-04,Kg,14,18,16.0,Tomato
2014-07-05,Kg,14,18,16.0,Tomato
2014-07-06,Kg,14,16,15.0,Tomato
2014-07-07,Kg,14,18,16.0,Tomato
2014-07-08,Kg,12,16,14.0,Tomato
2014-07-09,Kg,12,16,14.0,Tomato
2014-07-10,Kg,12,16,14.0,Tomato
2014-07-11,Kg,12,16,14.0,Tomato
2014-07-12,Kg,10,14,12.0,Tomato
2014-07-13,Kg,12,18,15.0,Tomato
2014-07-14,Kg,10,15,12.5,Tomato
2014-07-15,Kg,10,15,12.5,Tomato
2014-07-16,Kg,10,15,12.5,Tomato
2014-07-17,Kg,12,15,13.5,Tomato
2014-07-18,Kg,15,20,17.5,Tomato
2014-07-19,Kg,15,20,17.5,Tomato
2014-07-20,Kg,18,20,19.0,Tomato
2014-07-21,Kg,15,20,17.5,Tomato
2014-07-22,Kg,15,20,17.5,Tomato
2014-07-23,Kg,15,20,17.5,Tomato
2014-07-24,Kg,25,28,26.5,Tomato
2014-07-25,Kg,28,30,29.0,Tomato
2014-07-26,Kg,35,40,37.5,Tomato
2014-07-27,Kg,35,40,37.5,Tomato
2014-07-28,Kg,34,38,36.0,Tomato
2014-07-29,Kg,32,36,34.0,Tomato
2014-07-30,Kg,30,35,32.5,Tomato
2014-07-31,Kg,34,36,35.0,Tomato
2014-08-01,Kg,32,36,34.0,Tomato
2014-08-02,Kg,32,36,34.0,Tomato
2014-08-03,Kg,30,34,32.0,Tomato
2014-08-04,Kg,28,34,31.0,Tomato
2014-08-05,Kg,28,32,30.0,Tomato
2014-08-06,Kg,28,32,30.0,Tomato
2014-08-07,Kg,30,34,32.0,Tomato
2014-08-08,Kg,24,28,26.0,Tomato
2014-08-09,Kg,24,28,26.0,Tomato
2014-08-10,Kg,22,26,24.0,Tomato
2014-08-11,Kg,26,30,28.0,Tomato
2014-08-12,Kg,24,28,26.0,Tomato
2014-08-13,Kg,25,28,26.5,Tomato
2014-08-14,Kg,25,28,26.5,Tomato
2014-08-15,Kg,28,32,30.0,Tomato
2014-08-16,Kg,32,36,34.0,Tomato
2014-08-17,Kg,30,34,32.0,Tomato
2014-08-18,Kg,34,38,36.0,Tomato
2014-08-19,Kg,35,40,37.5,Tomato
2014-08-20,Kg,42,46,44.0,Tomato
2014-08-21,Kg,50,55,52.5,Tomato
2014-08-22,Kg,50,55,52.5,Tomato
2014-08-23,Kg,44,48,46.0,Tomato
2014-08-24,Kg,50,55,52.5,Tomato
2014-08-25,Kg,52,56,54.0,Tomato
2014-08-26,Kg,60,65,62.5,Tomato
2014-08-27,Kg,58,64,61.0,Tomato
2014-08-28,Kg,52,56,54.0,Tomato
2014-08-29,Kg,54,58,56.0,Tomato
2014-08-31,Kg,40,55,47.5,Tomato
2014-09-01,Kg,38,44,41.0,Tomato
2014-09-02,Kg,38,42,40.0,Tomato
2014-09-03,Kg,36,42,39.0,Tomato
2014-09-04,Kg,35,40,37.5,Tomato
2014-09-05,Kg,28,35,31.5,Tomato
2014-09-06,Kg,28,34,31.0,Tomato
2014-09-07,Kg,22,30,26.0,Tomato
2014-09-08,Kg,25,30,27.5,Tomato
2014-09-09,Kg,22,28,25.0,Tomato
2014-09-10,Kg,22,26,24.0,Tomato
2014-09-11,Kg,25,30,27.5,Tomato
2014-09-12,Kg,28,32,30.0,Tomato
2014-09-13,Kg,25,28,26.5,Tomato
2014-09-14,Kg,30,35,32.5,Tomato
2014-09-15,Kg,46,52,49.0,Tomato
2014-09-16,Kg,46,52,49.0,Tomato
2014-09-17,Kg,45,50,47.5,Tomato
2014-09-18,Kg,46,52,49.0,Tomato
2014-09-19,Kg,50,60,55.0,Tomato
2014-09-20,Kg,55,65,60.0,Tomato
2014-09-21,Kg,60,75,67.5,Tomato
2014-09-22,Kg,55,60,57.5,Tomato
2014-09-23,Kg,50,55,52.5,Tomato
2014-09-24,Kg,50,60,55.0,Tomato
2014-09-26,Kg,42,48,45.0,Tomato
2014-09-28,Kg,44,49,46.5,Tomato
2014-09-29,Kg,50,55,52.5,Tomato
2014-09-30,Kg,55,65,60.0,Tomato
2014-10-08,Kg,30,35,32.5,Tomato
2014-10-09,Kg,28,35,31.5,Tomato
2014-10-10,Kg,30,36,33.0,Tomato
2014-10-12,Kg,32,36,34.0,Tomato
2014-10-13,Kg,35,40,37.5,Tomato
2014-10-14,Kg,48,55,51.5,Tomato
2014-10-15,Kg,60,65,62.5,Tomato
2014-10-16,Kg,55,65,60.0,Tomato
2014-10-17,Kg,55,65,60.0,Tomato
2014-10-19,Kg,45,50,47.5,Tomato
2014-10-20,Kg,45,50,47.5,Tomato
2014-10-21,Kg,50,55,52.5,Tomato
2014-10-22,Kg,55,60,57.5,Tomato
2014-10-23,Kg,50,58,54.0,Tomato
2014-10-24,Kg,42,58,50.0,Tomato
2014-10-25,Kg,36,58,47.0,Tomato
2014-10-26,Kg,25,30,27.5,Tomato
2014-10-27,Kg,30,35,32.5,Tomato
2014-10-28,Kg,35,40,37.5,Tomato
2014-10-29,Kg,25,30,27.5,Tomato
2014-10-30,Kg,24,28,26.0,Tomato
2014-10-31,Kg,28,34,31.0,Tomato
2014-11-01,Kg,28,32,30.0,Tomato
2014-11-02,Kg,26,30,28.0,Tomato
2014-11-03,Kg,28,32,30.0,Tomato
2014-11-04,Kg,30,36,33.0,Tomato
2014-11-05,Kg,30,35,32.5,Tomato
2014-11-06,Kg,28,34,31.0,Tomato
2014-11-07,Kg,30,35,32.5,Tomato
2014-11-08,Kg,30,35,32.5,Tomato
2014-11-09,Kg,28,34,31.0,Tomato
2014-11-10,Kg,22,28,25.0,Tomato
2014-11-11,Kg,24,28,26.0,Tomato
2014-11-12,Kg,18,24,21.0,Tomato
2014-11-13,Kg,18,22,20.0,Tomato
2014-11-14,Kg,18,22,20.0,Tomato
2014-11-15,Kg,18,22,20.0,Tomato
2014-11-16,Kg,18,22,20.0,Tomato
2014-11-17,Kg,16,20,18.0,Tomato
2014-11-18,Kg,15,20,17.5,Tomato
2014-11-19,Kg,18,20,19.0,Tomato
2014-11-20,Kg,15,20,17.5,Tomato
2014-11-21,Kg,16,20,18.0,Tomato
2014-11-22,Kg,20,24,22.0,Tomato
2014-11-23,Kg,20,26,23.0,Tomato
2014-11-24,Kg,18,25,21.5,Tomato
2014-11-25,Kg,20,25,22.5,Tomato
2014-11-26,Kg,25,30,27.5,Tomato
2014-11-27,Kg,28,35,31.5,Tomato
2014-11-28,Kg,28,32,30.0,Tomato
2014-11-29,Kg,28,32,30.0,Tomato
2014-11-30,Kg,28,35,31.5,Tomato
2014-12-01,Kg,22,28,25.0,Tomato
2014-12-02,Kg,25,30,27.5,Tomato
2014-12-03,Kg,25,30,27.5,Tomato
2014-12-04,Kg,28,30,29.0,Tomato
2014-12-05,Kg,28,32,30.0,Tomato
2014-12-06,Kg,30,34,32.0,Tomato
2014-12-07,Kg,30,34,32.0,Tomato
2014-12-08,Kg,30,35,32.5,Tomato
2014-12-09,Kg,32,35,33.5,Tomato
2014-12-10,Kg,30,34,32.0,Tomato
2014-12-11,Kg,25,30,27.5,Tomato
2014-12-12,Kg,22,26,24.0,Tomato
2014-12-13,Kg,18,22,20.0,Tomato
2014-12-14,Kg,17,22,19.5,Tomato
2014-12-15,Kg,22,28,25.0,Tomato
2014-12-16,Kg,24,30,27.0,Tomato
2014-12-17,Kg,32,36,34.0,Tomato
2014-12-18,Kg,34,40,37.0,Tomato
2014-12-19,Kg,30,35,32.5,Tomato
2014-12-21,Kg,25,30,27.5,Tomato
2014-12-22,Kg,25,35,30.0,Tomato
2014-12-23,Kg,40,45,42.5,Tomato
2014-12-24,Kg,35,45,40.0,Tomato
2014-12-25,Kg,35,45,40.0,Tomato
2014-12-26,Kg,38,44,41.0,Tomato
2014-12-27,Kg,40,45,42.5,Tomato
2014-12-28,Kg,35,40,37.5,Tomato
2014-12-29,Kg,40,45,42.5,Tomato
2014-12-30,Kg,40,45,42.5,Tomato
2014-12-31,Kg,34,38,36.0,Tomato
2015-01-01,Kg,32,36,34.0,Tomato
2015-01-02,Kg,35,40,37.5,Tomato
2015-01-03,Kg,40,45,42.5,Tomato
2015-01-04,Kg,30,36,33.0,Tomato
2015-01-05,Kg,30,40,35.0,Tomato
2015-01-06,Kg,30,36,33.0,Tomato
2015-01-07,Kg,25,30,27.5,Tomato
2015-01-08,Kg,25,30,27.5,Tomato
2015-01-09,Kg,16,22,19.0,Tomato
2015-01-11,Kg,20,25,22.5,Tomato
2015-01-12,Kg,18,22,20.0,Tomato
2015-01-13,Kg,20,25,22.5,Tomato
2015-01-14,Kg,20,25,22.5,Tomato
2015-01-15,Kg,25,30,27.5,Tomato
2015-01-16,Kg,28,32,30.0,Tomato
2015-01-17,Kg,25,30,27.5,Tomato
2015-01-18,Kg,26,30,28.0,Tomato
2015-01-19,Kg,25,30,27.5,Tomato
2015-01-20,Kg,25,30,27.5,Tomato
2015-01-21,Kg,25,30,27.5,Tomato
2015-01-22,Kg,25,30,27.5,Tomato
2015-01-23,Kg,25,30,27.5,Tomato
2015-01-25,Kg,22,24,23.0,Tomato
2015-01-26,Kg,22,28,25.0,Tomato
2015-01-27,Kg,20,22,21.0,Tomato
2015-01-28,Kg,16,20,18.0,Tomato
2015-01-29,Kg,15,20,17.5,Tomato
2015-01-31,Kg,15,20,17.5,Tomato
2015-02-01,Kg,14,18,16.0,Tomato
2015-02-02,Kg,15,20,17.5,Tomato
2015-02-03,Kg,18,22,20.0,Tomato
2015-02-04,Kg,14,18,16.0,Tomato
2015-02-05,Kg,14,18,16.0,Tomato
2015-02-06,Kg,14,18,16.0,Tomato
2015-02-07,Kg,16,20,18.0,Tomato
2015-02-08,Kg,16,20,18.0,Tomato
2015-02-09,Kg,15,20,17.5,Tomato
2015-02-10,Kg,16,20,18.0,Tomato
2015-02-11,Kg,15,20,17.5,Tomato
2015-02-12,Kg,15,18,16.5,Tomato
2015-02-13,Kg,16,20,18.0,Tomato
2015-02-14,Kg,15,18,16.5,Tomato
2015-02-15,Kg,15,18,16.5,Tomato
2015-02-16,Kg,15,20,17.5,Tomato
2015-02-18,Kg,12,16,14.0,Tomato
2015-02-19,Kg,12,18,15.0,Tomato
2015-02-20,Kg,12,16,14.0,Tomato
2015-02-22,Kg,14,18,16.0,Tomato
2015-02-23,Kg,14,18,16.0,Tomato
2015-02-24,Kg,12,16,14.0,Tomato
2015-02-25,Kg,14,18,16.0,Tomato
2015-02-26,Kg,12,16,14.0,Tomato
2015-02-27,Kg,12,18,15.0,Tomato
2015-03-01,Kg,16,20,18.0,Tomato
2015-03-02,Kg,16,20,18.0,Tomato
2015-03-03,Kg,18,22,20.0,Tomato
2015-03-06,Kg,18,24,21.0,Tomato
2015-03-09,Kg,16,20,18.0,Tomato
2015-03-10,Kg,16,20,18.0,Tomato
2015-03-11,Kg,38,40,39.0,Tomato
2015-03-12,Kg,30,36,33.0,Tomato
2015-03-13,Kg,30,36,33.0,Tomato
2015-03-14,Kg,30,35,32.5,Tomato
2015-03-15,Kg,30,35,32.5,Tomato
2015-03-16,Kg,40,44,42.0,Tomato
2015-03-17,Kg,40,45,42.5,Tomato
2015-03-18,Kg,40,45,42.5,Tomato
2015-03-19,Kg,50,60,55.0,Tomato
2015-03-20,Kg,50,60,55.0,Tomato
2015-03-21,Kg,50,60,55.0,Tomato
2015-03-22,Kg,50,60,55.0,Tomato
2015-03-23,Kg,50,55,52.5,Tomato
2015-03-24,Kg,50,55,52.5,Tomato
2015-03-25,Kg,45,50,47.5,Tomato
2015-03-26,Kg,40,50,45.0,Tomato
2015-03-27,Kg,50,60,55.0,Tomato
2015-03-28,Kg,50,55,52.5,Tomato
2015-03-29,Kg,50,52,51.0,Tomato
2015-03-30,Kg,50,55,52.5,Tomato
2015-03-31,Kg,35,40,37.5,Tomato
