Date,Unit,Minimum,Maximum,Average,Market
2015-04-01,Kg,28,30,29.0,Tomato
2015-04-02,Kg,34,36,35.0,Tomato
2015-04-03,Kg,30,35,32.5,Tomato
2015-04-04,Kg,30,35,32.5,Tomato
2015-04-05,Kg,30,35,32.5,Tomato
2015-04-06,Kg,28,32,30.0,Tomato
2015-04-07,Kg,25,30,27.5,Tomato
2015-04-08,Kg,30,35,32.5,Tomato
2015-04-10,Kg,40,45,42.5,Tomato
2015-04-12,Kg,35,40,37.5,Tomato
2015-04-13,Kg,32,35,33.5,Tomato
2015-04-14,Kg,35,40,37.5,Tomato
2015-04-15,Kg,30,35,32.5,Tomato
2015-04-16,Kg,30,35,32.5,Tomato
2015-04-17,Kg,30,35,32.5,Tomato
2015-04-18,Kg,30,35,32.5,Tomato
2015-04-19,Kg,30,35,32.5,Tomato
2015-04-20,Kg,20,25,22.5,Tomato
2015-04-21,Kg,30,35,32.5,Tomato
2015-04-22,Kg,25,30,27.5,Tomato
2015-04-23,Kg,30,35,32.5,Tomato
2015-04-24,Kg,50,55,52.5,Tomato
2015-04-25,Kg,50,60,55.0,Tomato
2015-04-26,Kg,35,40,37.5,Tomato
2015-04-27,Kg,35,35,35.0,Tomato
2015-04-28,Kg,50,55,52.5,Tomato
2015-04-29,Kg,55,60,57.5,Tomato
2015-04-30,Kg,30,35,32.5,Tomato
2015-05-01,Kg,30,35,32.5,Tomato
2015-05-02,Kg,25,30,27.5,Tomato
2015-05-03,Kg,12,15,13.5,Tomato
2015-05-04,Kg,30,35,32.5,Tomato
2015-05-05,Kg,45,50,47.5,Tomato
2015-05-06,Kg,60,65,62.5,Tomato
2015-05-07,Kg,55,60,57.5,Tomato
2015-05-08,Kg,50,60,55.0,Tomato
2015-05-10,Kg,50,55,52.5,Tomato
2015-05-11,Kg,50,52,51.0,Tomato
2015-05-12,Kg,40,45,42.5,Tomato
2015-05-13,Kg,35,40,37.5,Tomato
2015-05-14,Kg,35,40,37.5,Tomato
2015-05-15,Kg,30,40,35.0,Tomato
2015-05-16,Kg,30,36,33.0,Tomato
2015-05-17,Kg,30,35,32.5,Tomato
2015-05-18,Kg,30,35,32.5,Tomato
2015-05-19,Kg,30,35,32.5,Tomato
2015-05-20,Kg,35,40,37.5,Tomato
2015-05-21,Kg,35,40,37.5,Tomato
2015-05-22,Kg,60,65,62.5,Tomato
2015-05-23,Kg,65,75,70.0,Tomato
2015-05-24,Kg,70,75,72.5,Tomato
2015-05-25,Kg,70,75,72.5,Tomato
2015-05-26,Kg,70,75,72.5,Tomato
2015-05-27,Kg,70,75,72.5,Tomato
2015-05-28,Kg,70,75,72.5,Tomato
2015-05-29,Kg,70,75,72.5,Tomato
2015-05-30,Kg,70,80,75.0,Tomato
2015-05-31,Kg,60,65,62.5,Tomato
2015-06-01,Kg,50,55,52.5,Tomato
2015-06-02,Kg,50,55,52.5,Tomato
2015-06-03,Kg,55,60,57.5,Tomato
2015-06-04,Kg,55,60,57.5,Tomato
2015-06-05,Kg,55,60,57.5,Tomato
2015-06-06,Kg,55,70,62.5,Tomato
2015-06-07,Kg,40,45,42.5,Tomato
2015-06-08,Kg,45,50,47.5,Tomato
2015-06-09,Kg,45,50,47.5,Tomato
2015-06-10,Kg,40,45,42.5,Tomato
2015-06-11,Kg,50,55,52.5,Tomato
2015-06-12,Kg,45,50,47.5,Tomato
2015-06-13,Kg,45,55,50.0,Tomato
2015-06-14,Kg,50,55,52.5,Tomato
2015-06-15,Kg,38,43,40.5,Tomato
2015-06-16,Kg,30,36,33.0,Tomato
2015-06-17,Kg,38,40,39.0,Tomato
2015-06-18,Kg,35,40,37.5,Tomato
2015-06-19,Kg,35,40,37.5,Tomato
2015-06-20,Kg,30,40,35.0,Tomato
2015-06-21,Kg,35,40,37.5,Tomato
2015-06-22,Kg,30,35,32.5,Tomato
2015-06-23,Kg,34,38,36.0,Tomato
2015-06-24,Kg,40,45,42.5,Tomato
2015-06-25,Kg,35,43,39.0,Tomato
2015-06-26,Kg,35,40,37.5,Tomato
2015-06-27,Kg,30,50,40.0,Tomato
2015-06-28,Kg,40,45,42.5,Tomato
2015-06-29,Kg,40,50,45.0,Tomato
2015-06-30,Kg,40,50,45.0,Tomato
2015-07-01,Kg,40,50,45.0,Tomato
2015-07-02,Kg,40,50,45.0,Tomato
2015-07-03,Kg,35,40,37.5,Tomato
2015-07-04,Kg,30,42,36.0,Tomato
2015-07-05,Kg,40,50,45.0,Tomato
2015-07-06,Kg,40,50,45.0,Tomato
2015-07-07,Kg,50,60,55.0,Tomato
2015-07-08,Kg,50,60,55.0,Tomato
2015-07-09,Kg,50,60,55.0,Tomato
2015-07-10,Kg,50,60,55.0,Tomato
2015-07-11,Kg,50,60,55.0,Tomato
2015-07-12,Kg,60,70,65.0,Tomato
2015-07-13,Kg,60,70,65.0,Tomato
2015-07-14,Kg,60,70,65.0,Tomato
2015-07-15,Kg,50,60,55.0,Tomato
2015-07-16,Kg,50,60,55.0,Tomato
2015-07-17,Kg,50,60,55.0,Tomato
2015-07-18,Kg,50,60,55.0,Tomato
2015-07-19,Kg,50,60,55.0,Tomato
2015-07-20,Kg,50,60,55.0,Tomato
2015-07-21,Kg,60,70,65.0,Tomato
2015-07-22,Kg,50,60,55.0,Tomato
2015-07-23,Kg,50,60,55.0,Tomato
2015-07-24,Kg,50,60,55.0,Tomato
2015-07-25,Kg,40,50,45.0,Tomato
2015-07-26,Kg,40,50,45.0,Tomato
2015-07-27,Kg,40,50,45.0,Tomato
2015-07-28,Kg,40,50,45.0,Tomato
2015-07-29,Kg,45,55,50.0,Tomato
2015-07-30,Kg,45,55,50.0,Tomato
2015-07-31,Kg,45,55,50.0,Tomato
2015-08-01,Kg,45,54,49.5,Tomato
2015-08-02,Kg,50,60,55.0,Tomato
2015-08-03,Kg,50,60,55.0,Tomato
2015-08-04,Kg,50,60,55.0,Tomato
2015-08-05,Kg,50,60,55.0,Tomato
2015-08-06,Kg,60,70,65.0,Tomato
2015-08-07,Kg,60,68,64.0,Tomato
2015-08-08,Kg,68,80,74.0,Tomato
2015-08-09,Kg,70,80,75.0,Tomato
2015-08-10,Kg,70,75,72.5,Tomato
2015-08-11,Kg,60,70,65.0,Tomato
2015-08-12,Kg,60,70,65.0,Tomato
2015-08-13,Kg,50,60,55.0,Tomato
2015-08-14,Kg,45,55,50.0,Tomato
2015-08-15,Kg,44,50,47.0,Tomato
2015-08-16,Kg,40,50,45.0,Tomato
2015-08-17,Kg,40,50,45.0,Tomato
2015-08-18,Kg,40,50,45.0,Tomato
2015-08-19,Kg,35,45,40.0,Tomato
2015-08-20,Kg,35,40,37.5,Tomato
2015-08-21,Kg,35,40,37.5,Tomato
2015-08-22,Kg,30,40,35.0,Tomato
2015-08-23,Kg,35,40,37.5,Tomato
2015-08-24,Kg,35,40,37.5,Tomato
2015-08-25,Kg,40,50,45.0,Tomato
2015-08-26,Kg,40,50,45.0,Tomato
2015-08-27,Kg,50,60,55.0,Tomato
2015-08-28,Kg,55,60,57.5,Tomato
2015-08-29,Kg,50,55,52.5,Tomato
2015-08-30,Kg,45,50,47.5,Tomato
2015-08-31,Kg,40,45,42.5,Tomato
2015-09-01,Kg,35,40,37.5,Tomato
2015-09-02,Kg,30,40,35.0,Tomato
2015-09-03,Kg,30,40,35.0,Tomato
2015-09-04,Kg,30,35,32.5,Tomato
2015-09-05,Kg,28,30,29.0,Tomato
2015-09-06,Kg,30,35,32.5,Tomato
2015-09-07,Kg,28,35,31.5,Tomato
2015-09-08,Kg,28,35,31.5,Tomato
2015-09-09,Kg,25,30,27.5,Tomato
2015-09-10,Kg,25,30,27.5,Tomato
2015-09-11,Kg,25,30,27.5,Tomato
2015-09-12,Kg,24,28,26.0,Tomato
2015-09-13,Kg,30,40,35.0,Tomato
2015-09-14,Kg,35,45,40.0,Tomato
2015-09-15,Kg,28,35,31.5,Tomato
2015-09-16,Kg,25,35,30.0,Tomato
2015-09-17,Kg,25,30,27.5,Tomato
2015-09-18,Kg,25,35,30.0,Tomato
2015-09-19,Kg,20,26,23.0,Tomato
2015-09-20,Kg,25,30,27.5,Tomato
2015-09-21,Kg,15,25,20.0,Tomato
2015-09-22,Kg,20,25,22.5,Tomato
2015-09-23,Kg,25,35,30.0,Tomato
2015-09-24,Kg,20,30,25.0,Tomato
2015-09-25,Kg,20,30,25.0,Tomato
2015-09-26,Kg,18,26,22.0,Tomato
2015-09-27,Kg,25,30,27.5,Tomato
2015-09-28,Kg,20,30,25.0,Tomato
2015-09-29,Kg,20,25,22.5,Tomato
2015-09-30,Kg,20,30,25.0,Tomato
2015-10-01,Kg,20,30,25.0,Tomato
2015-10-02,Kg,20,25,22.5,Tomato
2015-10-03,Kg,16,24,20.0,Tomato
2015-10-04,Kg,20,25,22.5,Tomato
2015-10-05,Kg,15,20,17.5,Tomato
2015-10-06,Kg,15,20,17.5,Tomato
2015-10-07,Kg,20,25,22.5,Tomato
2015-10-08,Kg,20,25,22.5,Tomato
2015-10-09,Kg,20,25,22.5,Tomato
2015-10-10,Kg,18,25,21.5,Tomato
2015-10-11,Kg,20,25,22.5,Tomato
2015-10-12,Kg,20,30,25.0,Tomato
2015-10-13,Kg,20,25,22.5,Tomato
2015-10-14,Kg,15,25,20.0,Tomato
2015-10-15,Kg,15,25,20.0,Tomato
2015-10-16,Kg,15,25,20.0,Tomato
2015-10-17,Kg,12,16,14.0,Tomato
2015-10-18,Kg,15,20,17.5,Tomato
2015-10-19,Kg,15,25,20.0,Tomato
2015-10-20,Kg,15,20,17.5,Tomato
2015-10-21,Kg,20,30,25.0,Tomato
2015-10-22,Kg,40,50,45.0,Tomato
2015-10-23,Kg,50,60,55.0,Tomato
2015-10-24,Kg,30,35,32.5,Tomato
2015-10-25,Kg,20,30,25.0,Tomato
2015-10-26,Kg,20,25,22.5,Tomato
2015-10-27,Kg,15,20,17.5,Tomato
2015-10-28,Kg,10,20,15.0,Tomato
2015-10-29,Kg,10,20,15.0,Tomato
2015-10-30,Kg,40,50,45.0,Tomato
2015-10-31,Kg,24,35,29.5,Tomato
2015-11-01,Kg,20,30,25.0,Tomato
2015-11-02,Kg,20,30,25.0,Tomato
2015-11-03,Kg,25,30,27.5,Tomato
2015-11-04,Kg,40,45,42.5,Tomato
2015-11-05,Kg,40,50,45.0,Tomato
2015-11-06,Kg,40,50,45.0,Tomato
2015-11-07,Kg,44,55,49.5,Tomato
2015-11-08,Kg,60,70,65.0,Tomato
2015-11-09,Kg,50,60,55.0,Tomato
2015-11-10,Kg,50,60,55.0,Tomato
2015-11-11,Kg,60,70,65.0,Tomato
2015-11-12,Kg,50,60,55.0,Tomato
2015-11-13,Kg,55,60,57.5,Tomato
2015-11-14,Kg,56,68,62.0,Tomato
2015-11-15,Kg,90,100,95.0,Tomato
2015-11-16,Kg,55,65,60.0,Tomato
2015-11-17,Kg,45,55,50.0,Tomato
2015-11-18,Kg,30,40,35.0,Tomato
2015-11-19,Kg,35,45,40.0,Tomato
2015-11-20,Kg,50,60,55.0,Tomato
2015-11-21,Kg,50,56,53.0,Tomato
2015-11-22,Kg,60,70,65.0,Tomato
2015-11-23,Kg,70,75,72.5,Tomato
2015-11-24,Kg,50,60,55.0,Tomato
2015-11-25,Kg,60,70,65.0,Tomato
2015-11-26,Kg,60,70,65.0,Tomato
2015-11-27,Kg,60,70,65.0,Tomato
2015-11-28,Kg,55,65,60.0,Tomato
2015-11-29,Kg,50,65,57.5,Tomato
2015-11-30,Kg,50,60,55.0,Tomato
2015-12-01,Kg,50,60,55.0,Tomato
2015-12-02,Kg,50,60,55.0,Tomato
2015-12-03,Kg,50,60,55.0,Tomato
2015-12-04,Kg,45,50,47.5,Tomato
2015-12-05,Kg,42,52,47.0,Tomato
2015-12-06,Kg,40,50,45.0,Tomato
2015-12-07,Kg,45,55,50.0,Tomato
2015-12-08,Kg,40,50,45.0,Tomato
2015-12-09,Kg,50,55,52.5,Tomato
2015-12-10,Kg,45,50,47.5,Tomato
2015-12-11,Kg,45,50,47.5,Tomato
2015-12-12,Kg,45,58,51.5,Tomato
2015-12-13,Kg,45,50,47.5,Tomato
2015-12-14,Kg,45,50,47.5,Tomato
2015-12-15,Kg,45,55,50.0,Tomato
2015-12-16,Kg,45,50,47.5,Tomato
2015-12-17,Kg,40,50,45.0,Tomato
2015-12-18,Kg,40,50,45.0,Tomato
2015-12-19,Kg,35,45,40.0,Tomato
2015-12-20,Kg,40,50,45.0,Tomato
2015-12-21,Kg,40,50,45.0,Tomato
2015-12-22,Kg,40,50,45.0,Tomato
2015-12-23,Kg,40,50,45.0,Tomato
2015-12-24,Kg,40,50,45.0,Tomato
2015-12-25,Kg,45,52,48.5,Tomato
2015-12-26,Kg,50,60,55.0,Tomato
2015-12-27,Kg,40,50,45.0,Tomato
2015-12-28,Kg,40,50,45.0,Tomato
2015-12-29,Kg,40,50,45.0,Tomato
2015-12-30,Kg,40,45,42.5,Tomato
2015-12-31,Kg,40,50,45.0,Tomato
2016-01-01,Kg,40,50,45.0,Tomato
2016-01-02,Kg,35,44,39.5,Tomato
2016-01-03,Kg,30,40,35.0,Tomato
2016-01-04,Kg,30,40,35.0,Tomato
2016-01-05,Kg,25,30,27.5,Tomato
2016-01-06,Kg,20,30,25.0,Tomato
2016-01-07,Kg,15,20,17.5,Tomato
2016-01-08,Kg,15,20,17.5,Tomato
2016-01-09,Kg,15,20,17.5,Tomato
2016-01-10,Kg,15,20,17.5,Tomato
2016-01-11,Kg,15,20,17.5,Tomato
2016-01-12,Kg,15,20,17.5,Tomato
2016-01-13,Kg,15,20,17.5,Tomato
2016-01-14,Kg,15,20,17.5,Tomato
2016-01-15,Kg,15,20,17.5,Tomato
2016-01-16,Kg,15,24,19.5,Tomato
2016-01-17,Kg,15,20,17.5,Tomato
2016-01-18,Kg,15,20,17.5,Tomato
2016-01-19,Kg,15,20,17.5,Tomato
2016-01-20,Kg,15,20,17.5,Tomato
2016-01-21,Kg,15,20,17.5,Tomato
2016-01-22,Kg,15,20,17.5,Tomato
2016-01-23,Kg,25,30,27.5,Tomato
2016-01-24,Kg,20,30,25.0,Tomato
2016-01-25,Kg,20,30,25.0,Tomato
2016-01-26,Kg,18,25,21.5,Tomato
2016-01-27,Kg,15,20,17.5,Tomato
2016-01-28,Kg,15,20,17.5,Tomato
2016-01-29,Kg,20,25,22.5,Tomato
2016-01-30,Kg,20,25,22.5,Tomato
2016-01-31,Kg,15,20,17.5,Tomato
2016-02-01,Kg,20,30,25.0,Tomato
2016-02-02,Kg,20,30,25.0,Tomato
2016-02-03,Kg,20,30,25.0,Tomato
2016-02-04,Kg,30,35,32.5,Tomato
2016-02-05,Kg,25,30,27.5,Tomato
2016-02-06,Kg,25,30,27.5,Tomato
2016-02-07,Kg,20,30,25.0,Tomato
2016-02-08,Kg,25,30,27.5,Tomato
2016-02-09,Kg,20,25,22.5,Tomato
2016-02-10,Kg,20,30,25.0,Tomato
2016-02-11,Kg,25,30,27.5,Tomato
2016-02-12,Kg,25,30,27.5,Tomato
2016-02-13,Kg,20,25,22.5,Tomato
2016-02-14,Kg,25,30,27.5,Tomato
2016-02-15,Kg,25,30,27.5,Tomato
2016-02-16,Kg,25,30,27.5,Tomato
2016-02-17,Kg,25,30,27.5,Tomato
2016-02-18,Kg,25,30,27.5,Tomato
2016-02-19,Kg,25,30,27.5,Tomato
2016-02-20,Kg,30,35,32.5,Tomato
2016-02-21,Kg,20,30,25.0,Tomato
2016-02-22,Kg,20,25,22.5,Tomato
2016-02-23,Kg,20,30,25.0,Tomato
2016-02-24,Kg,25,30,27.5,Tomato
2016-02-25,Kg,20,30,25.0,Tomato
2016-02-26,Kg,20,25,22.5,Tomato
2016-02-27,Kg,20,24,22.0,Tomato
2016-02-28,Kg,20,25,22.5,Tomato
2016-02-29,Kg,20,30,25.0,Tomato
2016-03-01,Kg,20,25,22.5,Tomato
2016-03-02,Kg,25,30,27.5,Tomato
2016-03-04,Kg,25,30,27.5,Tomato
2016-03-05,Kg,30,35,32.5,Tomato
2016-03-06,Kg,30,40,35.0,Tomato
2016-03-07,Kg,25,32,28.5,Tomato
2016-03-08,Kg,25,28,26.5,Tomato
2016-03-09,Kg,20,25,22.5,Tomato
2016-03-10,Kg,25,30,27.5,Tomato
2016-03-11,Kg,25,30,27.5,Tomato
2016-03-12,Kg,28,35,31.5,Tomato
2016-03-13,Kg,25,30,27.5,Tomato
2016-03-15,Kg,35,40,37.5,Tomato
2016-03-16,Kg,35,40,37.5,Tomato
2016-03-17,Kg,30,40,35.0,Tomato
2016-03-18,Kg,35,40,37.5,Tomato
2016-03-19,Kg,38,40,39.0,Tomato
2016-03-20,Kg,40,45,42.5,Tomato
2016-03-21,Kg,40,50,45.0,Tomato
2016-03-22,Kg,40,50,45.0,Tomato
2016-03-23,Kg,40,45,42.5,Tomato
2016-03-24,Kg,40,50,45.0,Tomato
2016-03-25,Kg,40,50,45.0,Tomato
2016-03-26,Kg,37,42,39.5,Tomato
2016-03-27,Kg,40,45,42.5,Tomato
2016-03-28,Kg,40,45,42.5,Tomato
2016-03-29,Kg,30,40,35.0,Tomato
2016-03-30,Kg,30,35,32.5,Tomato
2016-03-31,Kg,30,35,32.5,Tomato
2016-04-01,Kg,25,30,27.5,Tomato
2016-04-02,Kg,35,40,37.5,Tomato
2016-04-03,Kg,30,35,32.5,Tomato
2016-04-04,Kg,25,30,27.5,Tomato
2016-04-05,Kg,25,30,27.5,Tomato
2016-04-06,Kg,25,30,27.5,Tomato
2016-04-07,Kg,25,30,27.5,Tomato
2016-04-08,Kg,35,40,37.5,Tomato
2016-04-09,Kg,28,35,31.5,Tomato
2016-04-10,Kg,25,30,27.5,Tomato
2016-04-11,Kg,25,30,27.5,Tomato
2016-04-12,Kg,22,30,26.0,Tomato
2016-04-13,Kg,25,30,27.5,Tomato
2016-04-14,Kg,25,30,27.5,Tomato
2016-04-15,Kg,25,30,27.5,Tomato
2016-04-16,Kg,20,25,22.5,Tomato
2016-04-17,Kg,20,25,22.5,Tomato
2016-04-18,Kg,15,20,17.5,Tomato
2016-04-19,Kg,15,20,17.5,Tomato
2016-04-20,Kg,15,20,17.5,Tomato
2016-04-21,Kg,15,20,17.5,Tomato
2016-04-22,Kg,20,25,22.5,Tomato
2016-04-23,Kg,25,30,27.5,Tomato
2016-04-24,Kg,30,35,32.5,Tomato
2016-04-25,Kg,30,40,35.0,Tomato
2016-04-26,Kg,30,40,35.0,Tomato
2016-04-27,Kg,35,45,40.0,Tomato
2016-04-28,Kg,38,45,41.5,Tomato
2016-04-29,Kg,45,50,47.5,Tomato
2016-04-30,Kg,40,45,42.5,Tomato
2016-05-01,Kg,30,42,36.0,Tomato
2016-05-02,Kg,40,50,45.0,Tomato
2016-05-03,Kg,40,50,45.0,Tomato
2016-05-04,Kg,50,60,55.0,Tomato
2016-05-05,Kg,60,70,65.0,Tomato
2016-05-06,Kg,60,65,62.5,Tomato
2016-05-07,Kg,60,65,62.5,Tomato
2016-05-08,Kg,50,60,55.0,Tomato
2016-05-09,Kg,50,60,55.0,Tomato
2016-05-10,Kg,50,60,55.0,Tomato
2016-05-11,Kg,50,60,55.0,Tomato
2016-05-12,Kg,50,60,55.0,Tomato
2016-05-13,Kg,50,60,55.0,Tomato
2016-05-14,Kg,55,60,57.5,Tomato
2016-05-15,Kg,60,65,62.5,Tomato
2016-05-16,Kg,50,55,52.5,Tomato
2016-05-17,Kg,50,60,55.0,Tomato
2016-05-18,Kg,45,55,50.0,Tomato
2016-05-19,Kg,55,65,60.0,Tomato
2016-05-20,Kg,70,80,75.0,Tomato
2016-05-21,Kg,60,70,65.0,Tomato
2016-05-22,Kg,70,80,75.0,Tomato
2016-05-23,Kg,70,80,75.0,Tomato
2016-05-24,Kg,60,70,65.0,Tomato
2016-05-25,Kg,50,60,55.0,Tomato
2016-05-26,Kg,50,60,55.0,Tomato
2016-05-27,Kg,50,60,55.0,Tomato
2016-05-28,Kg,60,70,65.0,Tomato
2016-05-29,Kg,50,60,55.0,Tomato
2016-05-30,Kg,60,70,65.0,Tomato
2016-05-31,Kg,60,70,65.0,Tomato
2016-06-01,Kg,50,60,55.0,Tomato
2016-06-02,Kg,60,70,65.0,Tomato
2016-06-03,Kg,60,70,65.0,Tomato
2016-06-04,Kg,50,60,55.0,Tomato
2016-06-05,Kg,60,70,65.0,Tomato
2016-06-06,Kg,70,80,75.0,Tomato
2016-06-07,Kg,50,60,55.0,Tomato
2016-06-08,Kg,50,60,55.0,Tomato
2016-06-09,Kg,40,50,45.0,Tomato
2016-06-10,Kg,50,60,55.0,Tomato
2016-06-11,Kg,40,55,47.5,Tomato
2016-06-12,Kg,50,60,55.0,Tomato
2016-06-13,Kg,50,60,55.0,Tomato
2016-06-14,Kg,35,45,40.0,Tomato
2016-06-15,Kg,35,40,37.5,Tomato
2016-06-16,Kg,30,38,34.0,Tomato
2016-06-17,Kg,40,50,45.0,Tomato
2016-06-18,Kg,25,40,32.5,Tomato
2016-06-19,Kg,40,50,45.0,Tomato
2016-06-20,Kg,40,50,45.0,Tomato
2016-06-21,Kg,45,50,47.5,Tomato
2016-06-22,Kg,50,60,55.0,Tomato
2016-06-23,Kg,50,60,55.0,Tomato
2016-06-24,Kg,40,50,45.0,Tomato
2016-06-25,Kg,30,40,35.0,Tomato
2016-06-26,Kg,50,60,55.0,Tomato
2016-06-27,Kg,50,55,52.5,Tomato
2016-06-28,Kg,60,70,65.0,Tomato
2016-06-29,Kg,60,70,65.0,Tomato
2016-06-30,Kg,60,70,65.0,Tomato
2016-07-01,Kg,60,70,65.0,Tomato
2016-07-02,Kg,65,70,67.5,Tomato
2016-07-03,Kg,60,70,65.0,Tomato
2016-07-04,Kg,60,70,65.0,Tomato
2016-07-05,Kg,60,70,65.0,Tomato
2016-07-06,Kg,60,70,65.0,Tomato
2016-07-07,Kg,60,70,65.0,Tomato
2016-07-08,Kg,60,70,65.0,Tomato
2016-07-09,Kg,60,70,65.0,Tomato
2016-07-10,Kg,60,70,65.0,Tomato
2016-07-11,Kg,70,80,75.0,Tomato
2016-07-12,Kg,60,70,65.0,Tomato
2016-07-13,Kg,60,70,65.0,Tomato
2016-07-14,Kg,65,70,67.5,Tomato
2016-07-15,Kg,55,60,57.5,Tomato
2016-07-16,Kg,55,60,57.5,Tomato
2016-07-17,Kg,60,65,62.5,Tomato
2016-07-18,Kg,55,60,57.5,Tomato
2016-07-19,Kg,50,60,55.0,Tomato
2016-07-20,Kg,50,60,55.0,Tomato
2016-07-21,Kg,50,55,52.5,Tomato
2016-07-22,Kg,55,65,60.0,Tomato
2016-07-23,Kg,58,65,61.5,Tomato
2016-07-24,Kg,60,70,65.0,Tomato
2016-07-25,Kg,60,70,65.0,Tomato
2016-07-26,Kg,80,90,85.0,Tomato
2016-07-27,Kg,75,85,80.0,Tomato
2016-07-28,Kg,70,80,75.0,Tomato
2016-07-29,Kg,85,90,87.5,Tomato
2016-07-30,Kg,80,85,82.5,Tomato
2016-07-31,Kg,80,90,85.0,Tomato
2016-08-01,Kg,75,80,77.5,Tomato
2016-08-02,Kg,70,80,75.0,Tomato
2016-08-03,Kg,70,75,72.5,Tomato
2016-08-04,Kg,65,70,67.5,Tomato
2016-08-05,Kg,65,70,67.5,Tomato
2016-08-06,Kg,80,90,85.0,Tomato
2016-08-07,Kg,70,75,72.5,Tomato
2016-08-08,Kg,65,70,67.5,Tomato
2016-08-09,Kg,60,70,65.0,Tomato
2016-08-10,Kg,50,60,55.0,Tomato
2016-08-11,Kg,50,60,55.0,Tomato
2016-08-12,Kg,50,60,55.0,Tomato
2016-08-13,Kg,50,60,55.0,Tomato
2016-08-14,Kg,50,55,52.5,Tomato
2016-08-15,Kg,45,55,50.0,Tomato
2016-08-16,Kg,45,55,50.0,Tomato
2016-08-17,Kg,45,55,50.0,Tomato
2016-08-18,Kg,50,60,55.0,Tomato
2016-08-19,Kg,75,80,77.5,Tomato
2016-08-20,Kg,55,60,57.5,Tomato
2016-08-21,Kg,50,60,55.0,Tomato
2016-08-22,Kg,40,50,45.0,Tomato
2016-08-23,Kg,40,50,45.0,Tomato
2016-08-24,Kg,45,50,47.5,Tomato
2016-08-25,Kg,50,55,52.5,Tomato
2016-08-26,Kg,40,50,45.0,Tomato
2016-08-27,Kg,40,48,44.0,Tomato
2016-08-28,Kg,50,60,55.0,Tomato
2016-08-29,Kg,45,55,50.0,Tomato
2016-08-30,Kg,45,55,50.0,Tomato
2016-08-31,Kg,45,55,50.0,Tomato
2016-09-01,Kg,45,55,50.0,Tomato
2016-09-02,Kg,45,55,50.0,Tomato
2016-09-03,Kg,45,52,48.5,Tomato
2016-09-04,Kg,45,55,50.0,Tomato
2016-09-05,Kg,45,55,50.0,Tomato
2016-09-06,Kg,40,50,45.0,Tomato
2016-09-07,Kg,40,50,45.0,Tomato
2016-09-08,Kg,35,45,40.0,Tomato
2016-09-09,Kg,35,45,40.0,Tomato
2016-09-10,Kg,38,45,41.5,Tomato
2016-09-11,Kg,35,45,40.0,Tomato
2016-09-12,Kg,35,45,40.0,Tomato
2016-09-13,Kg,45,55,50.0,Tomato
2016-09-14,Kg,40,50,45.0,Tomato
2016-09-15,Kg,40,45,42.5,Tomato
2016-09-16,Kg,45,55,50.0,Tomato
2016-09-17,Kg,45,50,47.5,Tomato
2016-09-18,Kg,50,60,55.0,Tomato
2016-09-19,Kg,40,50,45.0,Tomato
2016-09-20,Kg,45,55,50.0,Tomato
2016-09-21,Kg,48,55,51.5,Tomato
2016-09-22,Kg,40,50,45.0,Tomato
2016-09-23,Kg,40,45,42.5,Tomato
2016-09-24,Kg,45,50,47.5,Tomato
2016-09-25,Kg,45,55,50.0,Tomato
2016-09-26,Kg,50,60,55.0,Tomato
2016-09-27,Kg,45,55,50.0,Tomato
2016-09-28,Kg,45,55,50.0,Tomato
2016-09-29,Kg,45,55,50.0,Tomato
2016-09-30,Kg,50,60,55.0,Tomato
2016-10-01,Kg,50,60,55.0,Tomato
2016-10-02,Kg,60,70,65.0,Tomato
2016-10-03,Kg,65,70,67.5,Tomato
2016-10-04,Kg,70,80,75.0,Tomato
